controller,time_s,setpoint_m,position_m,measured_position_m,velocity_m_s,error_m,beam_angle_deg,disturbance_m_s2
PID,8.85,-0.08,-0.08838079515507649,-0.08751880217542175,-0.028415964531731466,0.00838079515507649,-12.000000000000002,0.0
PID,8.86,-0.08,-0.08876384077728286,-0.0858909003977836,-0.03830456222063651,0.008763840777282858,-11.406699106973003,0.0
PID,8.870000000000001,-0.08,-0.08904293055408034,-0.08962651965376188,-0.027908977679748544,0.009042930554080342,12.000000000000002,0.0
PID,8.88,-0.08,-0.08921806448546894,-0.09404633024239965,-0.017513393138860578,0.00921806448546894,12.000000000000002,0.0
PID,8.89,-0.08,-0.08947000256033558,-0.09262605021068969,-0.025193807486664062,0.009470002560335575,-8.83609037993459,0.0
PID,8.9,-0.08,-0.0898050953892636,-0.0911360760059276,-0.03350928289280186,0.009805095389263593,-9.573314905114447,0.0
PID,8.91,-0.08,-0.09014437143347057,-0.09092055316425403,-0.033927604420696846,0.010144371433470564,-0.4793667530530935,0.0
PID,8.92,-0.08,-0.09047175940967637,-0.09096114868798003,-0.03273879762058139,0.010471759409676373,1.3624006285272166,0.0
PID,8.93,-0.08,-0.09082597737182914,-0.09039459716371454,-0.035421796215276,0.010825977371829137,-3.075967277277269,0.0
PID,8.94,-0.08,-0.09110450587874326,-0.09144947003347403,-0.027852850691411503,0.01110450587874326,8.706844891745417,0.0
PID,8.950000000000001,-0.08,-0.09148699023106625,-0.08900582665765645,-0.03824843523229947,0.011486990231066252,-12.000000000000002,0.0
PID,8.96,-0.08,-0.09176551873798038,-0.092839024842429,-0.027852850691411503,0.011765518737980374,12.000000000000002,0.0
PID,8.97,-0.08,-0.09199051895065768,-0.09349015465693146,-0.022500021267731284,0.011990518950657683,6.14566840306086,0.0
PID,8.98,-0.08,-0.09231947500874388,-0.09103276787361676,-0.03289560580861925,0.012319475008743877,-12.000000000000002,0.0
PID,8.99,-0.08,-0.09254447522142119,-0.09539075914859611,-0.022500021267731284,0.012544475221421186,12.000000000000002,0.0
PID,9.0,0.05,-0.09266551958868963,-0.09176509181078119,-0.012104436726843316,0.14266551958868962,12.000000000000002,0.0
PID,9.01,0.05,-0.09268260811054918,-0.09246041322123709,-0.0017088521859553486,0.14268260811054917,12.000000000000002,0.0
PID,9.02,0.05,-0.09259574078699985,-0.09297749309038551,0.008686732354932619,0.14259574078699985,12.000000000000002,0.0
PID,9.03,0.05,-0.09254156326962105,-0.08941918857270133,0.005417751737879416,0.14254156326962106,-3.7486496914347485,0.0
PID,9.040000000000001,0.05,-0.09238342990683338,-0.09378597816021049,0.01581333627876738,0.1423834299068334,12.000000000000002,0.0
PID,9.05,0.05,-0.09232925238945458,-0.08826283356578522,0.005417751737879414,0.1423292523894546,-12.000000000000002,0.0
PID,9.06,0.05,-0.0921711190266669,-0.09278011528791077,0.01581333627876738,0.1421711190266669,12.000000000000002,0.0
PID,9.07,0.05,-0.09190902981847035,-0.09472515191660735,0.026208920819655347,0.14190902981847037,12.000000000000002,0.0
PID,9.08,0.05,-0.09163818424876785,-0.0917691906564807,0.02708455697024962,0.14163818424876784,1.003456413409483,0.0
PID,9.09,0.05,-0.09126338283365648,-0.09379067464940538,0.037480141511137585,0.14126338283365647,12.000000000000002,0.0
PID,9.1,0.05,-0.09078462557313623,-0.09276689452928348,0.04787572605202555,0.14078462557313623,12.000000000000002,0.0
PID,9.11,0.05,-0.0902880588382159,-0.08999055897310525,0.049656673492032684,0.1402880588382159,2.041247217157916,0.0
PID,9.120000000000001,0.05,-0.0896875362578867,-0.08917689466091565,0.06005225803292065,0.1396875362578867,12.000000000000002,0.0
PID,9.13,0.05,-0.0889830578321486,-0.09093187165839521,0.07044784257380862,0.1389830578321486,12.000000000000002,0.0
PID,9.14,0.05,-0.08833620575172488,-0.0870082475420558,0.0646852080423724,0.1383362057517249,-6.6182000667052225,0.0
PID,9.15,0.05,-0.08758539782589228,-0.08602119023568261,0.07508079258326038,0.1375853978258923,12.000000000000002,0.0
PID,9.16,0.05,-0.08673262374485291,-0.0847127943127657,0.08527740810393686,0.1367326237448529,11.767004658761962,0.0
PID,9.17,0.05,-0.08577589381840466,-0.08567379693060147,0.09567299264482483,0.13577589381840466,12.000000000000002,0.0
PID,9.18,0.05,-0.08480088198806382,-0.08304903639423326,0.09750118303408316,0.13480088198806384,2.0954189444657496,0.0
PID,9.19,0.05,-0.08372191431231411,-0.08856247884401193,0.10789676757497113,0.13372191431231412,12.000000000000002,0.0
PID,9.200000000000001,0.05,-0.08272105203835801,-0.08435772740957104,0.10008622739561046,0.13272105203835802,-8.987025636448786,0.0
PID,9.21,0.05,-0.08161623391899303,-0.08445506255100486,0.11048181193649843,0.13161623391899302,12.000000000000002,0.0
PID,9.22,0.05,-0.08052334686688874,-0.08137778219673825,0.10928870521042987,0.13052334686688874,-1.3673293790800256,0.0
PID,9.23,0.05,-0.07932650396937556,-0.08166624530528221,0.11968428975131784,0.12932650396937556,12.000000000000002,0.0
